jahr;person_id;geschlecht;zeit
2017;4161;w;36,03
2017;4096;w;36,27
2017;4134;w;38,1
2017;4088;w;39,28
2017;4108;w;39,55
2017;4086;w;40,2
2017;4077;w;41,09
2017;4034;w;42,11
2017;4013;w;42,41
2017;4060;w;43,08
2017;4111;w;43,21
2017;4142;w;43,21
2017;4069;w;45,01
2017;4022;w;45,01
2017;4004;w;45,27
2017;4099;w;45,54
2017;4160;w;46,16
2017;4028;w;47
2017;4006;w;48,59
2017;4017;w;49,12
2017;4089;w;49,48
2017;4103;w;49,54
2017;4165;w;52,55
2017;4118;w;54,24
2017;4023;m;22,11
2017;4113;m;26,14
2017;4024;m;27,03
2017;4010;m;29,03
2017;4051;m;29,08
2017;4097;m;29,57
2017;4049;m;31,07
2017;4054;m;31,17
2017;4120;m;31,44
2017;4076;m;31,47
2017;4147;m;33,03
2017;4148;m;34,31
2017;4075;m;34,45
2017;4082;m;34,52
2017;4066;m;35,17
2017;4092;m;35,46
2017;4037;m;35,51
2017;4046;m;35,59
2017;4041;m;36,52
2017;4048;m;36,55
2017;4094;m;37
2017;4064;m;37,08
2017;4152;m;37,18
2017;4115;m;37,24
2017;4141;m;37,36
2017;4136;m;37,5
2017;4104;m;37,52
2017;4044;m;38,23
2017;4145;m;38,59
2017;4095;m;39,48
2017;4109;m;39,52
2017;4159;m;40,02
2017;4091;m;40,03
2017;4021;m;40,11
2017;4156;m;40,2
2017;4105;m;40,27
2017;4055;m;40,27
2017;4078;m;40,28
2017;4052;m;40,29
2017;4137;m;40,46
2017;4039;m;41,03
2017;4002;m;41,13
2017;4102;m;45,15
2017;4063;m;46,16
2017;4155;m;47,02
2017;4151;m;48,38
2017;4012;m;48,58
2017;4056;m;50,25
2017;4138;m;51,22
2017;4011;m;54,04
2017;4038;m;56,11
2018;4129;w;29,29
2018;4074;w;32,33
2018;4127;w;33
2018;4084;w;33,11
2018;4114;w;34,35
2018;4071;w;34,59
2018;4036;w;36,02
2018;4086;w;36,42
2018;4099;w;36,49
2018;4032;w;38
2018;4149;w;38,02
2018;4033;w;38,1
2018;4131;w;38,1
2018;4081;w;39,04
2018;4166;w;41,31
2018;4083;w;42,32
2018;4117;w;43,21
2018;4100;w;45,18
2018;4128;w;45,22
2018;4116;w;46,5
2018;4163;w;47,24
2018;4162;w;47,27
2018;4022;w;47,44
2018;4069;w;47,45
2018;4059;w;50,11
2018;4019;w;50,11
2018;4122;w;50,21
2018;4045;w;53,38
2018;4148;m;21,44
2018;4024;m;25,08
2018;4053;m;25,38
2018;4146;m;26,18
2018;4068;m;26,38
2018;4067;m;26,46
2018;4097;m;27,44
2018;4051;m;27,48
2018;4050;m;28,19
2018;4035;m;28,41
2018;4132;m;29,16
2018;4085;m;29,26
2018;4062;m;29,42
2018;4076;m;29,51
2018;4061;m;31,24
2018;4121;m;32,19
2018;4113;m;32,21
2018;4038;m;32,33
2018;4155;m;33,37
2018;4104;m;33,38
2018;4156;m;33,39
2018;4014;m;33,42
2018;4072;m;34,18
2018;4109;m;34,2
2018;4141;m;34,3
2018;4143;m;34,49
2018;4152;m;34,56
2018;4091;m;35,12
2018;4098;m;35,22
2018;4073;m;35,27
2018;4070;m;35,28
2018;4056;m;37,24
2018;4130;m;38,52
2018;4027;m;39,04
2018;4106;m;39,34
2018;4101;m;39,36
2018;4107;m;40,33
2019;4090;w;28,46
2019;4008;w;30,25
2019;4109;m;31,49
2019;4133;w;32,48
2019;4114;w;33,01
2019;4131;w;33,23
2019;4016;w;35,17
2019;4007;w;37,36
2019;4112;w;38,22
2019;4025;w;38,59
2019;4079;w;39
2019;4030;w;39,3
2019;4018;w;39,34
2019;4117;w;39,34
2019;4119;w;39,48
2019;4083;w;40,02
2019;4047;w;40,13
2019;4003;w;40,15
2019;4029;w;40,36
2019;4139;w;40,39
2019;4032;w;42,06
2019;4081;w;42,06
2019;4124;w;42,07
2019;4122;w;43,04
2019;4135;w;43,52
2019;4031;w;44,03
2019;4157;w;44,03
2019;4058;w;44,2
2019;4093;w;44,56
2019;4128;w;46,13
2019;4001;w;46,4
2019;4005;w;46,41
2019;4158;w;47,29
2019;4150;w;50,13
2019;4020;w;50,15
2019;4113;m;23,25
2019;4146;m;24,41
2019;4125;m;25,15
2019;4126;m;26,03
2019;4092;m;26,54
2019;4040;m;27,23
2019;4035;m;28,39
2019;4121;m;29,11
2019;4065;m;29,14
2019;4140;m;29,3
2019;4153;m;29,54
2019;4026;m;29,55
2019;4154;m;29,59
2019;4141;m;30,59
2019;4123;m;31,19
2019;4080;m;31,37
2019;4156;m;31,49
2019;4132;m;32,28
2019;4043;m;33,1
2019;4145;m;33,1
2019;4164;m;34,41
2019;4144;m;35,3
2019;4101;m;37,37
2019;4009;m;38,22
2019;4015;m;38,29
2019;4110;m;39,1
2019;4087;m;39,11
2019;4042;m;39,34
2019;4027;m;42,06
2019;4057;m;50,11
